loc_group,ll_key,dup_type,n_sites_here,n_clients_here,client_name,client_id,site_id,lat,lon,operational_start,first_month,last_month,months_active,mem_wash_count,ret_wash_count,total_washes
53,"32.9743,-96.6994",cross_operator,2,2,Carnation Auto Spa,carnationautospa_000352,1,32.9743208,-96.6993815,09-2021,2021-09,2022-01,4,206,11353,11559
54,"33.2177,-96.6834",cross_operator,2,2,BlueWave,bluewave_000567,59,33.217686,-96.683395,03-2026,2026-03,2026-05,3,19150,4648,23798
54,"33.2177,-96.6834",cross_operator,2,2,ClearWater,clearwater_000397,12,33.217686,-96.683395,08-2023,2023-08,2026-03,32,177832,63092,240924
55,"33.2738,-84.2918",cross_operator,2,2,Blue Penguin Car Wash,bluepenguincw_000433,2,33.273799,-84.291788,03-2022,2022-03,2026-05,51,221065,232060,453125
55,"33.2738,-84.2918",cross_operator,2,2,Dirty Dog's Car Wash,dirtydogs_000082,4,33.273799,-84.291788,01-2020,2020-01,2022-03,27,99081,173201,272282
56,"33.5172,-112.1858",cross_operator,2,2,Rinse My Ride,rinsemyride_000430,1,33.5171611,-112.1857956,02-2022,2022-02,2025-03,38,5286,38249,43535
56,"33.5172,-112.1858",cross_operator,2,2,Super Shine Car Wash,supershinecw_000658,3,33.5171611,-112.1857956,03-2025,2025-03,2025-09,7,1847,5383,7230
57,"33.5925,-102.3869",cross_operator,2,2,Champion Xpress CW,championxpresscw_000216,13,33.5924598,-102.3869413,04-2022,2022-04,2022-04,1,0,947,947
57,"33.5925,-102.3869",cross_operator,2,2,Grime Scene,grimescene_000454,1,33.5924598,-102.3869413,04-2022,2022-04,2026-05,50,333534,140606,474140
58,"33.6033,-83.8324",same_operator,2,1,Zips Express Car Wash,zips_000468,19,33.603253,-83.832356,10-2024,2024-10,2026-05,20,19750,30978,50728
58,"33.6033,-83.8324",same_operator,2,1,Zips Express Car Wash,zips_000468,24,33.603253,-83.832356,10-2024,2024-10,2025-01,4,0,116,116
59,"33.6052,-83.8767",cross_operator,2,2,Charliee's Car Wash,charliescw_000634,1,33.605179,-83.876709,02-2024,2024-02,2026-05,28,172555,144888,317443
59,"33.6052,-83.8767",cross_operator,2,2,Rocket Wash,rocketwash_000183,7,33.605179,-83.876709,06-2023,2023-06,2023-12,2,0,478,478
60,"33.6374,-84.0187",cross_operator,2,2,Big Peach Car Wash,bigpeachcw_000300,7,33.6374352,-84.0186611,08-2023,2023-08,2026-03,32,81267,64253,145520
60,"33.6374,-84.0187",cross_operator,2,2,Rocket Wash,rocketwash_000183,6,33.6374352,-84.0186611,03-2023,2023-03,2023-03,1,0,6,6
61,"33.6428,-78.9723",cross_operator,2,2,Detricks,detricks_000422,2,33.6428071,-78.9723316,03-2022,2022-03,2024-03,25,129723,94346,224069
61,"33.6428,-78.9723",cross_operator,2,2,Magnolia,magnolia_000414,67,33.6428071,-78.9723316,03-2024,2024-03,2026-05,27,101578,46327,147905
62,"33.6513,-86.8199",cross_operator,2,2,Mr. B's Car Wash,mrbs,1,33.6512899,-86.8198564,01-2020,2020-01,2022-09,33,0,274684,274684
62,"33.6513,-86.8199",cross_operator,2,2,Mach 1 Express Wash,zippycarwash_000145,17,33.6512899,-86.8198564,09-2024,2024-09,2026-05,21,16419,27482,43901
63,"33.7517,-84.7268",cross_operator,2,2,Blue Penguin Car Wash,bluepenguincw_000433,1,33.751734,-84.726808,03-2022,2022-03,2026-05,51,229107,219567,448674
63,"33.7517,-84.7268",cross_operator,2,2,Dirty Dog's Car Wash,dirtydogs_000082,6,33.751734,-84.726808,01-2021,2021-01,2022-03,15,42537,90772,133309
64,"33.7617,-96.5824",cross_operator,2,2,BlueWave,bluewave_000567,64,33.7617077,-96.5824205,03-2026,2026-03,2026-05,3,39884,7815,47699
64,"33.7617,-96.5824",cross_operator,2,2,ClearWater,clearwater_000397,17,33.7617077,-96.5824205,04-2024,2024-04,2026-03,24,279513,77060,356573
65,"33.8529,-79.0762",cross_operator,2,2,Detricks,detricks_000422,1,33.8528886,-79.076195,02-2022,2022-02,2024-03,26,199829,133906,333735
65,"33.8529,-79.0762",cross_operator,2,2,Magnolia,magnolia_000414,66,33.8528886,-79.076195,03-2024,2024-03,2026-05,27,196140,113048,309188
66,"33.9355,-84.1849",cross_operator,2,2,Blue Sky Express,blueskyexpress_000138,1,33.9355026,-84.1848693,01-2020,2020-01,2023-12,48,211968,214591,426559
66,"33.9355,-84.1849",cross_operator,2,2,Sud Stop,sudstop_000639,3,33.9355026,-84.1848693,04-2024,2024-04,2026-05,26,206766,76822,283588
67,"33.9542,-78.0505",cross_operator,2,2,Carolina Shores,carolinashores_000338,1,33.954165,-78.050508,08-2021,2021-08,2022-09,14,46825,50375,97200
67,"33.9542,-78.0505",cross_operator,2,2,Magnolia,magnolia_000414,16,33.954165,-78.050508,09-2022,2022-09,2026-05,45,249601,144096,393697
68,"33.9705,-84.4876",cross_operator,2,2,Blue Penguin Car Wash,bluepenguincw_000433,3,33.9705278,-84.4876273,03-2022,2022-03,2026-05,51,90053,100592,190645
68,"33.9705,-84.4876",cross_operator,2,2,Dirty Dog's Car Wash,dirtydogs_000082,5,33.9705278,-84.4876273,07-2020,2020-07,2022-03,21,27941,39326,67267
69,"34.2062,-84.8162",cross_operator,2,2,Luv Car Wash,luvcarwash_000457,12,34.2062036,-84.8162081,07-2022,2022-07,2026-05,47,234536,118906,353442
69,"34.2062,-84.8162",cross_operator,2,2,Rocket Wash,rocketwash_000183,1,34.2062036,-84.8162081,01-2020,2020-01,2022-07,31,116903,128961,245864
70,"34.2193,-78.0164",cross_operator,2,2,Carolina Shores,carolinashores_000338,2,34.21931,-78.016423,08-2021,2021-08,2022-09,14,78166,86781,164947
70,"34.2193,-78.0164",cross_operator,2,2,Magnolia,magnolia_000414,17,34.21931,-78.016423,09-2022,2022-09,2026-05,45,291926,225715,517641
71,"34.4901,-85.3419",cross_operator,2,2,Luv Car Wash,luvcarwash_000457,13,34.490126,-85.3418975,07-2022,2022-07,2026-05,47,176935,91872,268807
71,"34.4901,-85.3419",cross_operator,2,2,Rocket Wash,rocketwash_000183,2,34.490126,-85.3418975,07-2020,2020-07,2022-07,25,63940,70730,134670
72,"34.7206,-87.6681",cross_operator,2,2,Extreme Clean Auto Wash,extreemeclean_000261,1,34.7205938,-87.6680577,09-2020,2020-09,2022-09,25,29997,70375,100372
72,"34.7206,-87.6681",cross_operator,2,2,Wash N Roll,washnroll_000485,6,34.7205938,-87.6680577,09-2022,2022-09,2026-05,45,98896,67488,166384
73,"34.7406,-85.272",cross_operator,2,2,Luv Car Wash,luvcarwash_000457,9,34.740564,-85.271989,06-2022,2022-06,2026-05,48,220444,124247,344691
73,"34.7406,-85.272",cross_operator,2,2,Rocket Wash,rocketwash_000183,4,34.740564,-85.271989,04-2022,2022-04,2022-04,1,0,2,2
74,"34.8219,-82.2837",cross_operator,2,2,Heroes Car Wash,carolinacarwash_000283,7,34.8218738,-82.2836692,06-2022,2022-06,2023-08,15,12188,8567,20755
74,"34.8219,-82.2837",cross_operator,2,2,Colonial Car Wash,colonialcw_000420,6,34.8218738,-82.2836692,08-2023,2023-08,2026-05,34,8313,104153,112466
75,"34.8869,-82.3957",cross_operator,2,2,Heroes Car Wash,carolinacarwash_000283,6,34.8869364,-82.3956641,05-2022,2022-05,2023-08,16,48523,28144,76667
75,"34.8869,-82.3957",cross_operator,2,2,Colonial Car Wash,colonialcw_000420,5,34.8869364,-82.3956641,08-2023,2023-08,2026-05,34,50159,164430,214589
76,"34.9036,-82.3325",cross_operator,2,2,Heroes Car Wash,carolinacarwash_000283,4,34.903567,-82.3325024,03-2022,2022-03,2023-08,18,61944,31406,93350
76,"34.9036,-82.3325",cross_operator,2,2,Colonial Car Wash,colonialcw_000420,3,34.903567,-82.3325024,08-2023,2023-08,2026-05,34,51972,165704,217676
77,"34.9354,-82.2763",cross_operator,2,2,Heroes Car Wash,carolinacarwash_000283,5,34.935384,-82.276331,08-2022,2022-08,2023-08,13,32728,17191,49919
77,"34.9354,-82.2763",cross_operator,2,2,Colonial Car Wash,colonialcw_000420,4,34.935384,-82.276331,08-2023,2023-08,2026-05,34,33425,126000,159425
78,"35.0523,-78.9745",cross_operator,2,2,Five Star,fivestar_000150,3,35.0522632,-78.9744552,01-2020,2020-01,2022-04,28,179536,185098,364634
78,"35.0523,-78.9745",cross_operator,2,2,Magnolia,magnolia_000414,2,35.0522632,-78.9744552,04-2022,2022-04,2026-05,50,279928,244401,524329
79,"35.1071,-78.8793",cross_operator,2,2,Five Star,fivestar_000150,1,35.1071029,-78.8792549,01-2020,2020-01,2022-04,28,160272,144045,304317
79,"35.1071,-78.8793",cross_operator,2,2,Magnolia,magnolia_000414,1,35.1071029,-78.8792549,04-2022,2022-04,2026-05,50,315760,191187,506947
80,"35.3746,-77.9441",cross_operator,2,2,Rocket Wash,rocketwashnc_000309,1,35.374643,-77.944051,03-2021,2021-03,2022-06,16,87386,64954,152340
80,"35.3746,-77.9441",cross_operator,2,2,Zips Express Car Wash,zips_000468,4,35.374643,-77.944051,06-2022,2022-06,2026-05,48,194815,132751,327566
81,"35.6657,-78.8438",cross_operator,2,2,Heroes Car Wash,carolinacarwash_000283,1,35.6656624,-78.8438255,12-2020,2020-12,2022-06,19,109905,80148,190053
81,"35.6657,-78.8438",cross_operator,2,2,Zips Express Car Wash,zips_000468,3,35.6656624,-78.8438255,06-2022,2022-06,2026-05,48,210584,122108,332692
82,"35.735,-78.7793",cross_operator,2,2,Heroes Car Wash,carolinacarwash_000283,11,35.734973,-78.779261,06-2025,2025-06,2026-05,12,33090,17891,50981
82,"35.735,-78.7793",cross_operator,2,2,Edge Express,edgeexpress_000446,7,35.734973,-78.779261,07-2023,2023-07,2025-04,22,31371,40467,71838
83,"35.7564,-83.942",cross_operator,2,2,Big Peach Car Wash,bigpeachcw_000300,11,35.756406,-83.94195,02-2025,2025-02,2025-12,11,14289,9911,24200
83,"35.7564,-83.942",cross_operator,2,2,Splash Patrol,splashpatrol_000816,1,35.756406,-83.94195,12-2025,2025-12,2026-05,6,13918,9923,23841
84,"35.7871,-78.8093",cross_operator,2,2,Heroes Car Wash,carolinacarwash_000283,9,35.787114,-78.809254,04-2023,2023-04,2026-05,38,229602,108158,337760
84,"35.7871,-78.8093",cross_operator,2,2,Rocket Wash,rocketwashnc_000309,6,35.787114,-78.809254,12-2022,2022-12,2022-12,1,0,2,2
85,"36.0439,-86.6621",cross_operator,2,2,Champion CW,championcarwash_000085,5,36.043861,-86.662127,01-2020,2020-01,2022-08,32,56113,102726,158839
85,"36.0439,-86.6621",cross_operator,2,2,Wash N Roll,washnroll_000485,1,36.043861,-86.662127,08-2022,2022-08,2026-05,46,191051,130544,321595
86,"36.0604,-95.9037",cross_operator,2,2,Launch Car Wash,launchcw_000311,3,36.060421,-95.903725,12-2022,2022-12,2026-05,42,163589,108743,272332
86,"36.0604,-95.9037",cross_operator,2,2,Mr Klean Car Wash,shortcompany,1,36.060421,-95.903725,01-2020,2020-01,2020-11,11,0,6449,6449
87,"36.0608,-79.8696",cross_operator,2,2,Five Star,fivestar_000150,4,36.060796,-79.8695724,05-2020,2020-05,2022-04,24,57201,79971,137172
87,"36.0608,-79.8696",cross_operator,2,2,Magnolia,magnolia_000414,3,36.060796,-79.8695724,04-2022,2022-04,2026-05,50,180510,975142,1155652
88,"36.0745,-86.9238",cross_operator,2,2,Champion CW,championcarwash_000085,7,36.074531,-86.923798,01-2020,2020-01,2022-08,32,193856,270036,463892
88,"36.0745,-86.9238",cross_operator,2,2,Wash N Roll,washnroll_000485,2,36.074531,-86.923798,08-2022,2022-08,2026-05,46,423105,217622,640727
89,"36.1197,-86.7745",cross_operator,2,2,Champion CW,championcarwash_000085,6,36.1196537,-86.7745102,01-2020,2020-01,2022-09,33,83215,194710,277925
89,"36.1197,-86.7745",cross_operator,2,2,Wash N Roll,washnroll_000485,3,36.1196537,-86.7745102,09-2022,2022-09,2026-05,45,359755,237755,597510
90,"36.1454,-86.8709",cross_operator,2,2,Champion CW,championcarwash_000085,4,36.145437,-86.870853,01-2020,2020-01,2022-09,33,92283,151089,243372
90,"36.1454,-86.8709",cross_operator,2,2,Wash N Roll,washnroll_000485,4,36.145437,-86.870853,09-2022,2022-09,2026-05,45,217755,142648,360403
91,"36.845,-81.4956",cross_operator,2,2,Dragons Edge,dragonsedge_000700,1,36.8450174,-81.4955846,10-2024,2024-10,2026-05,20,160083,31192,191275
91,"36.845,-81.4956",cross_operator,2,2,Mountain Edge,mountainedge_000549,3,36.8450174,-81.4955846,04-2024,2024-04,2024-10,7,35603,13859,49462
92,"37.0582,-84.6462",cross_operator,2,2,Circle K,circlek_000060,2,37.05817,-84.646174,08-2022,2022-08,2026-05,46,10195,24255,34450
92,"37.0582,-84.6462",cross_operator,2,2,Spectacular Car Wash,spectacularcw_000429,1,37.05817,-84.646174,08-2022,2022-08,2022-08,1,0,12,12
93,"37.1418,-80.4146",cross_operator,2,2,Carolina Shores,carolinashores_000338,5,37.14175,-80.414569,04-2022,2022-04,2022-07,2,49,1649,1698
93,"37.1418,-80.4146",cross_operator,2,2,Magnolia,magnolia_000414,19,37.14175,-80.414569,07-2022,2022-07,2026-05,47,95290,105508,200798
94,"37.1429,-80.5826",cross_operator,2,2,Carolina Shores,carolinashores_000338,4,37.1429064,-80.5826188,10-2021,2021-10,2022-08,11,33089,51922,85011
94,"37.1429,-80.5826",cross_operator,2,2,Magnolia,magnolia_000414,18,37.1429064,-80.5826188,08-2022,2022-08,2026-05,46,181587,207145,388732
95,"37.4767,-105.8944",cross_operator,2,2,Champion Xpress CW,championxpresscw_000216,10,37.476684,-105.894424,10-2021,2021-10,2026-05,56,309955,185469,495424
95,"37.4767,-105.8944",cross_operator,2,2,Full Throttle Car Wash,fullthrottle_000020,1,37.476684,-105.894424,01-2020,2020-01,2021-07,19,0,52185,52185
96,"37.5509,-77.3401",cross_operator,2,2,Gocarwash,gocarwash_000415,1,37.550852,-77.340055,01-2022,2022-01,2022-10,10,14414,27621,42035
96,"37.5509,-77.3401",cross_operator,2,2,Hogg Wash,hoggwash_000092,1,37.550852,-77.340055,01-2020,2020-01,2022-01,25,53994,91815,145809
97,"37.8601,-85.5185",same_operator,2,1,Hurricane Bay Express,000003_hurricane,1,37.8601265,-85.5185246,01-2020,2020-01,2022-05,29,0,98159,98159
97,"37.8601,-85.5185",same_operator,2,1,Hurricane Bay Express,000003_hurricane,2,37.8601265,-85.5185246,11-2025,2025-11,2026-05,7,4256,5253,9509
98,"38.2184,-85.538",cross_operator,2,2,The Car Wash Company,carwashcompany_000521,1,38.2184249,-85.5380479,11-2022,2022-11,2024-01,15,37786,41202,78988
98,"38.2184,-85.538",cross_operator,2,2,Magnolia,magnolia_000414,64,38.2184249,-85.5380479,01-2024,2024-01,2026-05,29,130543,104054,234597
99,"38.4809,-90.2215",same_operator,2,1,Weber Wash & Lube,weberwash_000038,1,38.480897,-90.221453,01-2020,2020-01,2026-05,77,255143,128118,383261
99,"38.4809,-90.2215",same_operator,2,1,Weber Wash & Lube,weberwash_000038,2,38.480897,-90.221453,12-2020,2020-12,2020-12,1,0,1,1
100,"38.6236,-83.7873",same_operator,2,1,Thoroughbred,thoroughbredcw_000304,10,38.623588,-83.787291,09-2023,2023-09,2026-05,33,166658,93944,260602
100,"38.6236,-83.7873",same_operator,2,1,Thoroughbred,thoroughbredcw_000304,32,38.623588,-83.787291,08-2025,2025-08,2026-04,9,1123,1415,2538
101,"38.7896,-90.5717",cross_operator,2,2,Scrubbles Express Wash,scrubbles_000069,8,38.789628,-90.571748,05-2023,2023-05,2023-05,1,0,12,12
101,"38.7896,-90.5717",cross_operator,2,2,Scrubbles STL,scrubblesstl_000578,1,38.789628,-90.571748,06-2023,2023-06,2026-05,36,121047,87671,208718
102,"40.0469,-75.1423",cross_operator,2,2,Bubble Tunnel Car Wash,bubbletunnelcw_000368,1,40.0469382,-75.1423013,12-2021,2021-12,2022-12,13,0,89938,89938
102,"40.0469,-75.1423",cross_operator,2,2,Wash Industries,westchestercw_000036,10,40.0469382,-75.1423013,12-2022,2022-12,2026-05,42,0,398397,398397
103,"40.6648,-73.5024",cross_operator,2,2,Seaford Car Wash,seafordcarwash_000354,1,40.6647522,-73.5023578,08-2021,2021-08,2026-05,58,17682,170819,188501
103,"40.6648,-73.5024",cross_operator,2,2,Seaford Car Wash,seafordcw_000135,1,40.6647522,-73.5023578,01-2020,2020-01,2021-08,19,1885,46720,48605
104,"41.4431,-85.9784",same_operator,2,1,John's Auto Spa,johnsautospa_000372,2,41.4430505,-85.9784059,11-2021,2021-11,2026-05,55,0,159143,159143
104,"41.4431,-85.9784",same_operator,2,1,John's Auto Spa,johnsautospa_000372,4,41.4430505,-85.9784059,01-2025,2025-01,2026-04,11,0,23,23
105,"41.8282,-87.7045",cross_operator,2,2,Snappy Kedzie Express Wash,snappykedzieew_000336,1,41.8282134,-87.7044561,05-2021,2021-05,2026-05,61,227624,408964,636588
105,"41.8282,-87.7045",cross_operator,2,2,Snappy Car Wash,snappyscarwash_000115,5,41.8282134,-87.7044561,04-2021,2021-04,2021-04,1,0,33,33
106,"42.5666,-82.9134",same_operator,2,1,Basha Magical Touch Car Wash,bashamagical_000650,1,42.566565,-82.913395,07-2024,2024-07,2026-05,23,55711,179111,234822
106,"42.5666,-82.9134",same_operator,2,1,Basha Magical Touch Car Wash,bashamagical_000650,2,42.566565,-82.913395,07-2024,2024-07,2024-08,2,0,3,3
107,"42.8416,-85.6748",cross_operator,2,2,Wave Auto Wash,anchorcw_000452,1,42.841572,-85.674812,08-2022,2022-08,2026-03,44,92923,57956,150879
107,"42.8416,-85.6748",cross_operator,2,2,Riverside,riverside_000010,4,42.841572,-85.674812,08-2022,2022-08,2026-05,4,7381,3240,10621
108,"43.1134,-79.1235",cross_operator,2,2,Auto Wash Express,autowashexpress,1,43.113435,-79.1235393,01-2020,2020-01,2024-10,58,0,63449,63449
108,"43.1134,-79.1235",cross_operator,2,2,Valet Car Wash,valetcw_000706,1,43.113435,-79.1235393,02-2025,2025-02,2026-05,16,145120,25956,171076
109,"43.3941,-80.3245",cross_operator,2,2,Smitty's Car Wash,smittyscw_000489,13,43.394121,-80.324503,08-2024,2024-08,2025-04,9,52234,21557,73791
109,"43.3941,-80.3245",cross_operator,2,2,Swift Car Wash,swiftcw_000762,1,43.394121,-80.324503,05-2025,2025-05,2026-05,13,93339,19436,112775
110,"44.4322,-73.2116",same_operator,2,1,Seaway Car Wash,seawaycarwash_000181,1,44.432247,-73.211555,01-2020,2020-01,2026-05,77,47431,325290,372721
110,"44.4322,-73.2116",same_operator,2,1,Seaway Car Wash,seawaycarwash_000181,3,44.432247,-73.211555,01-2020,2020-01,2026-05,77,0,146051,146051
