cbsa_id,cbsa_name,n_sites
12060,"Atlanta-Sandy Springs-Roswell, GA",39
19100,"Dallas-Fort Worth-Arlington, TX",29
45300,"Tampa-St. Petersburg-Clearwater, FL",26
27260,"Jacksonville, FL",25
26420,"Houston-The Woodlands-Sugar Land, TX",22
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",20
31080,"Los Angeles-Long Beach-Anaheim, CA",19
35620,"New York-Newark-Jersey City, NY-NJ-PA",17
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",15
16980,"Chicago-Naperville-Elgin, IL-IN-WI",13
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",13
24860,"Greenville-Anderson-Mauldin, SC",11
35840,"North Port-Sarasota-Bradenton, FL",10
14460,"Boston-Cambridge-Newton, MA-NH",9
36740,"Orlando-Kissimmee-Sanford, FL",9
39580,"Raleigh, NC",9
32820,"Memphis, TN-MS-AR",8
31140,"Louisville/Jefferson County, KY-IN",7
41740,"San Diego-Carlsbad, CA",7
33340,"Milwaukee-Waukesha-West Allis, WI",7
38060,"Phoenix-Mesa-Scottsdale, AZ",7
26620,"Huntsville, AL",6
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",6
40140,"Riverside-San Bernardino-Ontario, CA",6
15980,"Cape Coral-Fort Myers, FL",6
44180,"Springfield, MO",6
19740,"Denver-Aurora-Lakewood, CO",6
19820,"Detroit-Warren-Dearborn, MI",6
12420,"Austin-Round Rock, TX",6
42660,"Seattle-Tacoma-Bellevue, WA",5
42340,"Savannah, GA",5
16740,"Charlotte-Concord-Gastonia, NC-SC",5
41180,"St. Louis, MO-IL",5
31420,"Macon-Bibb County, GA",5
30460,"Lexington-Fayette, KY",5
43700,"Somerset, KY",4
40220,"Roanoke, VA",4
44700,"Stockton-Lodi, CA",4
28700,"Kingsport-Bristol-Bristol, TN-VA",4
47260,"Virginia Beach-Norfolk-Newport News, VA-NC",4
42540,"Scranton--Wilkes-Barre--Hazleton, PA",3
41940,"San Jose-Sunnyvale-Santa Clara, CA",3
41700,"San Antonio-New Braunfels, TX",3
11700,"Asheville, NC",3
19380,"Dayton, OH",3
37620,"Parkersburg-Vienna, WV",3
42220,"Santa Rosa, CA",3
15540,"Burlington-South Burlington, VT",3
45220,"Tallahassee, FL",3
28140,"Kansas City, MO-KS",3
13820,"Birmingham-Hoover, AL",3
38940,"Port St. Lucie, FL",3
37100,"Oxnard-Thousand Oaks-Ventura, CA",3
41100,"St. George, UT",3
33860,"Montgomery, AL",3
23540,"Gainesville, FL",3
39460,"Punta Gorda, FL",2
23860,"Georgetown, SC",2
40060,"Richmond, VA",2
39300,"Providence-Warwick, RI-MA",2
37460,"Panama City, FL",2
24140,"Goldsboro, NC",2
24340,"Grand Rapids-Wyoming, MI",2
22420,"Flint, MI",2
28420,"Kennewick-Richland, WA",2
28620,"Kill Devil Hills, NC",2
42680,"Sebastian-Vero Beach, FL",2
20500,"Durham-Chapel Hill, NC",2
45140,"Tahlequah, OK",2
48260,"Weirton-Steubenville, WV-OH",2
12580,"Baltimore-Columbia-Towson, MD",2
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",2
14140,"Bluefield, WV-VA (nearest)",2
46140,"Tulsa, OK",2
12020,"Athens-Clarke County, GA",2
49420,"Yakima, WA",2
30700,"Lincoln, NE",2
20460,"Durant, OK",2
16820,"Charlottesville, VA",2
43140,"Shelby, NC",2
42940,"Sevierville, TN",2
49180,"Winston-Salem, NC",2
35900,"North Wilkesboro, NC",2
27740,"Johnson City, TN",2
NON_CBSA_KY,Non-CBSA KY,2
35820,"North Platte, NE",1
35860,"North Vernon, IN",1
10100,"Aberdeen, SD",1
35380,"New Orleans-Metairie, LA",1
35220,"New Castle, IN",1
34940,"Naples-Immokalee-Marco Island, FL",1
34340,"Mount Airy, NC",1
34180,"Moses Lake, WA",1
33700,"Modesto, CA",1
33500,"Minot, ND",1
33140,"Michigan City-La Porte, IN",1
33060,"Miami, OK (nearest)",1
33980,"Morehead City, NC",1
40700,"Roseburg, OR",1
36100,"Ocala, FL",1
46220,"Tuscaloosa, AL",1
43300,"Sherman-Denison, TX",1
43900,"Spartanburg, SC",1
44500,"Stephenville, TX",1
45740,"Toccoa, GA",1
45780,"Toledo, OH",1
46060,"Tucson, AZ",1
46340,"Tyler, TX",1
36260,"Ogden-Clearfield, UT",1
46660,"Valdosta, GA",1
47580,"Warner Robins, GA",1
48180,"Waycross, GA",1
48540,"Wheeling, WV-OH",1
48980,"Wilson, NC",1
NON_CBSA_MI,Non-CBSA MI,1
42200,"Santa Maria-Santa Barbara, CA",1
42140,"Santa Fe, NM",1
41980,"San Juan-Carolina-Caguas, PR",1
41860,"San Francisco-Oakland-Hayward, CA",1
41540,"Salisbury, MD-DE",1
41420,"Salem, OR",1
40940,"Safford, AZ",1
32580,"McAllen-Edinburg-Mission, TX",1
40660,"Rome, GA",1
39900,"Reno, NV",1
39820,"Redding, CA",1
38900,"Portland-Vancouver-Hillsboro, OR-WA",1
38180,"Pierre, SD",1
37860,"Pensacola-Ferry Pass-Brent, FL",1
37340,"Palm Bay-Melbourne-Titusville, FL",1
36980,"Owensboro, KY",1
36420,"Oklahoma City, OK",1
32620,"McComb, MS",1
29540,"Lancaster, PA",1
32540,"McAlester, OK",1
32460,"Mayfield, KY",1
17020,"Chico, CA",1
17220,"Clarksburg, WV",1
17460,"Cleveland-Elyria, OH",1
17660,"Coeur d'Alene, ID",1
17980,"Columbus, GA-AL",1
18020,"Columbus, IN",1
18100,"Columbus, NE",1
18140,"Columbus, OH",1
18380,"Cordele, GA",1
18420,"Corinth, MS",1
18460,"Cornelia, GA (nearest)",1
18700,"Corvallis, OR",1
18880,"Crestview-Fort Walton Beach-Destin, FL",1
18980,"Cullman, AL",1
19000,"Cullowhee, NC (nearest)",1
19660,"Deltona-Daytona Beach-Ormond Beach, FL",1
19700,"Deming, NM",1
20140,"Dublin, GA (nearest)",1
20900,"El Campo, TX",1
21060,"Elizabethtown-Fort Knox, KY",1
21460,"Enterprise, AL (nearest)",1
16940,"Cheyenne, WY",1
16620,"Charleston, WV",1
16540,"Chambersburg-Waynesboro, PA",1
13220,"Beckley, WV",1
10580,"Albany-Schenectady-Troy, NY",1
10900,"Allentown-Bethlehem-Easton, PA-NJ",1
11900,"Athens, OH",1
12100,"Atlantic City-Hammonton, NJ",1
12220,"Auburn-Opelika, AL",1
12260,"Augusta-Richmond County, GA-SC",1
12540,"Bakersfield, CA",1
12700,"Barnstable Town, MA",1
13140,"Beaumont-Port Arthur, TX",1
13380,"Bellingham, WA",1
16340,"Cedartown, GA",1
13740,"Billings, MT",1
13980,"Blacksburg-Christiansburg-Radford, VA",1
14300,"Bonham, TX",1
14380,"Boone, NC",1
15020,"Brookhaven, MS",1
15260,"Brunswick, GA",1
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",1
15500,"Burlington, NC",1
15620,"Cadillac, MI",1
21540,"Escanaba, MI",1
21640,"Eufaula, AL-GA",1
22180,"Fayetteville, NC",1
29820,"Las Vegas-Henderson-Paradise, NV",1
27460,"Jamestown-Dunkirk-Fredonia, NY",1
28060,"Kalispell, MT",1
28660,"Killeen-Temple, TX",1
28780,"Kingsville, TX",1
29200,"Lafayette-West Lafayette, IN",1
29420,"Lake Havasu City-Kingman, AZ",1
29460,"Lakeland-Winter Haven, FL",1
10500,"Albany, GA",1
29700,"Laredo, TX",1
30140,"Lebanon, PA",1
27180,"Jackson, TN",1
30220,"Levelland, TX",1
30780,"Little Rock-North Little Rock-Conway, AR",1
30980,"Longview, TX",1
31180,"Lubbock, TX",1
31340,"Lynchburg, VA",1
31500,"Madison, IN",1
31700,"Manchester-Nashua, NH",1
31930,"Marietta, OH",1
31940,"Marinette, WI-MI",1
27340,"Jacksonville, NC",1
27140,"Jackson, MS",1
22280,"Fernley, NV",1
25060,"Gulfport-Biloxi-Pascagoula, MS",1
22580,"Forest City, NC",1
22900,"Fort Smith, AR-OK",1
23240,"Fredericksburg, TX",1
23460,"Gadsden, AL",1
23580,"Gainesville, GA",1
24060,"Glenwood Springs, CO",1
24100,"Gloversville, NY",1
24420,"Grants Pass, OR",1
24660,"Greensboro-High Point, NC",1
25540,"Hartford-West Hartford-East Hartford, CT",1
26960,"Ionia, MI",1
25740,"Helena, MT",1
25780,"Henderson, NC",1
25840,"Hermiston-Pendleton, OR",1
25860,"Hickory-Lenoir-Morganton, NC",1
26580,"Huntington-Ashland, WV-KY-OH (nearest)",1
26660,"Huntsville, TX",1
26740,"Hutchinson, KS",1
26820,"Idaho Falls, ID",1
26900,"Indianapolis-Carmel-Anderson, IN",1
NON_CBSA_TX,Non-CBSA TX,1
